City_ID,City,Country,Date,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed
0,Norman Wells,CA,2020-08-25 21:13:28,65.28,-126.83,66.2,59,75,2.24
1,Kapaa,US,2020-08-25 21:10:45,22.08,-159.32,84.2,70,75,12.75
2,Albany,US,2020-08-25 21:13:28,42.6,-73.97,81.0,73,75,14.99
3,Punta Arenas,CL,2020-08-25 21:12:30,-53.15,-70.92,42.8,52,94,11.41
4,Sungairaya,ID,2020-08-25 21:13:29,0.7,108.9,78.26,83,100,2.3
5,Paamiut,GL,2020-08-25 21:13:29,61.99,-49.67,43.54,81,0,14.5
6,Finnsnes,NO,2020-08-25 21:09:45,69.23,17.98,48.2,87,75,9.17
7,East London,ZA,2020-08-25 21:13:29,-33.02,27.91,63.91,63,21,19.55
8,Sisimiut,GL,2020-08-25 21:13:29,66.94,-53.67,48.63,74,26,6.53
9,Ribeira Grande,PT,2020-08-25 21:13:30,38.52,-28.7,75.2,94,75,8.05
10,Nikolskoye,RU,2020-08-25 21:13:30,59.7,30.79,60.01,87,75,4.47
11,Korla,CN,2020-08-25 21:13:30,41.76,86.15,84.0,61,0,1.99
12,Mataura,NZ,2020-08-25 21:13:30,-46.19,168.86,36.84,89,69,4.88
13,Abnub,EG,2020-08-25 21:13:30,27.27,31.15,84.2,42,0,9.17
14,Port Alfred,ZA,2020-08-25 21:13:30,-33.59,26.89,61.25,72,0,16.98
15,Boende,CD,2020-08-25 21:13:30,-0.22,20.87,72.39,92,39,0.4
16,Kodiak,US,2020-08-25 21:13:03,57.79,-152.41,62.6,51,90,17.22
17,Ridgecrest,US,2020-08-25 21:13:10,35.62,-117.67,104.0,11,0,21.9
18,Pontalina,BR,2020-08-25 21:13:31,-17.52,-49.45,80.55,29,6,9.24
19,Geraldton,AU,2020-08-25 21:13:31,-28.77,114.6,44.6,93,0,4.7
20,Helsinki,FI,2020-08-25 21:13:31,60.17,24.94,57.0,87,32,2.24
21,Bluff,NZ,2020-08-25 21:13:31,-46.6,168.33,44.26,76,86,17.45
22,Clyde River,CA,2020-08-25 21:13:31,70.47,-68.59,44.74,69,1,8.23
23,Seddon,AU,2020-08-25 21:13:32,-37.81,144.89,46.0,87,39,8.05
24,Gazanjyk,TM,2020-08-25 21:13:32,39.24,55.52,70.05,45,0,8.84
25,Saint-Francois,FR,2020-08-25 21:13:32,46.42,3.91,75.99,44,75,3.0
26,Avarua,CK,2020-08-25 21:13:32,-21.21,-159.78,75.2,73,53,11.41
27,Sitka,US,2020-08-25 21:12:05,57.05,-135.33,55.4,100,90,5.41
28,Te Anau,NZ,2020-08-25 21:13:32,-45.42,167.72,33.51,90,47,1.68
29,Chuy,UY,2020-08-25 21:13:32,-33.7,-53.46,61.9,71,100,9.69
30,Miles City,US,2020-08-25 21:13:33,46.41,-105.84,84.2,23,1,9.17
31,Tasiilaq,GL,2020-08-25 21:13:33,65.61,-37.64,41.0,75,0,6.93
32,Sibu,MY,2020-08-25 21:13:33,2.3,111.82,78.8,94,40,2.24
33,Binga,ZW,2020-08-25 21:13:33,-17.62,27.34,67.21,42,0,0.72
34,Kruisfontein,ZA,2020-08-25 21:13:33,-34.0,24.73,62.01,71,0,8.01
35,Erice,IT,2020-08-25 21:13:33,38.04,12.59,82.4,74,40,10.29
36,Poronaysk,RU,2020-08-25 21:09:04,49.22,143.12,63.01,95,39,2.82
37,Port Lincoln,AU,2020-08-25 21:13:34,-34.73,135.87,52.18,65,35,9.6
38,Saskylakh,RU,2020-08-25 21:13:34,71.92,114.08,49.53,65,48,8.25
39,El Dorado,US,2020-08-25 21:10:21,33.21,-92.67,91.0,59,90,11.41
40,Calca,PE,2020-08-25 21:13:34,-13.33,-71.95,71.6,12,7,10.29
41,San Jose De Rio Tinto,HN,2020-08-25 21:13:34,14.93,-85.7,84.54,65,100,3.11
42,Los Llanos De Aridane,ES,2020-08-25 21:13:34,28.66,-17.92,78.01,78,20,17.22
43,Longyearbyen,SJ,2020-08-25 21:08:46,78.22,15.64,41.0,79,13,4.7
44,Egvekinot,RU,2020-08-25 21:13:35,66.32,-179.17,49.1,74,100,5.26
45,Ngoro,ID,2020-08-25 21:13:35,-7.68,112.26,71.65,80,38,5.66
46,Le Port,RE,2020-08-25 21:13:35,-20.94,55.29,68.0,64,50,13.87
47,Concordia,AR,2020-08-25 21:09:52,-31.39,-58.02,81.0,51,38,17.22
48,Ushuaia,AR,2020-08-25 21:10:19,-54.8,-68.3,42.8,56,40,5.35
49,New Norfolk,AU,2020-08-25 21:13:36,-42.78,147.06,46.99,82,100,3.0
50,Flinders,AU,2020-08-25 21:13:36,-34.58,150.86,45.0,84,0,1.01
51,Tome,CL,2020-08-25 21:13:36,-36.62,-72.95,57.2,71,75,21.92
52,Barrow,US,2020-08-25 21:09:31,71.29,-156.79,39.2,93,90,4.7
53,Sorland,NO,2020-08-25 21:13:36,67.67,12.69,48.2,81,40,9.17
54,Rikitea,PF,2020-08-25 21:13:36,-23.12,-134.97,69.71,76,0,10.69
55,Chokurdakh,RU,2020-08-25 21:13:37,70.63,147.92,37.09,91,100,4.7
56,Kashi,CN,2020-08-25 21:13:37,39.45,75.98,87.8,19,20,11.18
57,Codrington,AU,2020-08-25 21:13:37,-38.27,141.97,37.71,91,9,8.66
58,Belaya Gora,RU,2020-08-25 21:13:37,68.53,146.42,40.93,67,6,1.95
59,Teknaf,BD,2020-08-25 21:13:37,20.86,92.31,78.91,91,99,13.35
60,Arequipa,PE,2020-08-25 21:13:37,-16.4,-71.53,64.4,36,0,11.41
61,Thinadhoo,MV,2020-08-25 21:13:37,0.53,72.93,83.64,70,100,9.66
62,Hermanus,ZA,2020-08-25 21:13:38,-34.42,19.23,55.99,93,97,9.06
63,Pevek,RU,2020-08-25 21:13:38,69.7,170.31,38.08,98,100,2.59
64,Nome,US,2020-08-25 21:13:38,64.5,-165.41,54.0,81,90,5.1
65,Port Elizabeth,ZA,2020-08-25 21:13:38,-33.92,25.57,60.8,82,0,26.4
66,Vila Velha,BR,2020-08-25 21:13:38,-20.33,-40.29,73.99,56,2,18.34
67,Atuona,PF,2020-08-25 21:13:39,-9.8,-139.03,78.48,74,27,13.09
68,Katobu,ID,2020-08-25 21:13:39,-4.94,122.53,73.18,81,10,6.46
69,Khor,RU,2020-08-25 21:13:39,47.89,134.95,63.79,97,18,4.7
70,Lahij,YE,2020-08-25 21:13:39,13.17,44.58,88.07,47,96,4.65
71,Bethel,US,2020-08-25 21:13:39,41.37,-73.41,88.0,65,75,14.99
72,Ambagarh Chauki,IN,2020-08-25 21:13:39,20.78,80.72,78.19,82,100,9.01
73,Luderitz,NA,2020-08-25 21:13:39,-26.65,15.16,56.19,79,0,8.1
74,Busselton,AU,2020-08-25 21:12:45,-33.65,115.33,46.99,76,52,2.21
75,Tecoanapa,MX,2020-08-25 21:13:40,16.52,-98.75,82.02,79,99,15.08
76,Tuktoyaktuk,CA,2020-08-25 21:13:40,69.45,-133.04,46.4,93,90,8.05
77,Katsuura,JP,2020-08-25 21:13:40,35.13,140.3,78.01,88,20,5.82
78,Hobart,AU,2020-08-25 21:12:22,-42.88,147.33,48.2,57,75,10.29
79,San Quintin,MX,2020-08-25 21:13:40,30.48,-115.95,78.17,69,14,15.75
80,Kavieng,PG,2020-08-25 21:13:40,-2.57,150.8,81.73,78,1,11.3
81,Kaitangata,NZ,2020-08-25 21:13:40,-46.28,169.85,44.01,68,51,7.0
82,Faanui,PF,2020-08-25 21:13:41,-16.48,-151.75,76.14,82,34,19.95
83,Fortuna,US,2020-08-25 21:13:04,40.6,-124.16,68.0,77,1,13.87
84,Nantucket,US,2020-08-25 21:13:41,41.28,-70.1,78.8,78,1,13.87
85,Seminole,US,2020-08-25 21:13:41,28.71,-81.21,93.2,52,20,13.87
86,Haines Junction,CA,2020-08-25 21:13:41,60.75,-137.51,57.56,54,95,6.29
87,Thompson,CA,2020-08-25 21:13:41,55.74,-97.86,53.6,76,90,6.93
88,Assiniboia,CA,2020-08-25 21:09:59,49.63,-105.98,85.86,22,30,12.17
89,Saint-Philippe,RE,2020-08-25 21:13:42,-21.36,55.77,68.0,72,75,4.7
90,Esperance,AU,2020-08-25 21:13:42,-33.87,121.9,51.8,100,0,4.7
91,Hasaki,JP,2020-08-25 21:13:42,35.73,140.83,75.2,94,20,4.7
92,Bengkulu,ID,2020-08-25 21:13:42,-3.8,102.27,77.09,80,98,7.94
93,Sagua De Tanamo,CU,2020-08-25 21:13:42,20.58,-75.24,88.12,57,23,7.7
94,Aripuana,BR,2020-08-25 21:13:42,-9.17,-60.63,95.83,24,32,1.95
95,Bar Harbor,US,2020-08-25 21:13:42,44.39,-68.2,69.8,83,75,10.29
96,Castro,BR,2020-08-25 21:11:22,-24.79,-50.01,55.56,81,0,7.2
97,Butaritari,KI,2020-08-25 21:13:43,3.07,172.79,81.39,68,60,3.87
98,Storm Lake,US,2020-08-25 21:13:43,42.64,-95.21,95.0,41,1,14.99
99,Bredasdorp,ZA,2020-08-25 21:13:43,-34.53,20.04,55.4,87,95,2.24
100,Alpena,US,2020-08-25 21:13:43,45.06,-83.43,80.6,47,20,12.75
101,Bulgan,MN,2020-08-25 21:13:43,48.81,103.53,51.19,82,83,2.64
